2024-06-23 15:12:39,100,10,-56
2024-06-23 15:12:40,100,10,-54
2024-06-23 15:12:41,100,10,-53
2024-06-23 15:12:43,100,10,-54
2024-06-23 15:12:44,100,10,-54
2024-06-23 15:12:45,100,10,-54
2024-06-23 15:12:46,100,10,-52
2024-06-23 15:12:47,100,10,-53
2024-06-23 15:12:48,100,10,-53
2024-06-23 15:12:49,100,10,-54
2024-06-23 15:12:50,100,10,-53
2024-06-23 15:12:51,100,10,-53
2024-06-23 15:12:52,100,10,-53
2024-06-23 15:12:53,100,10,-53
2024-06-23 15:12:54,100,10,-53
2024-06-23 15:12:55,100,10,-54
2024-06-23 15:12:56,100,10,-55
